,pidSzn,MIN,GP,Season,PIE,POSS,USG_PCT
0,201985_2014-15,0.8,4,2014-15,-0.1,6,0.571
1,201166_2014-15,2.7,29,2014-15,0.118,169,0.268
2,203932_2014-15,1.7,16,2014-15,0.197,53,0.105
3,203940_2014-15,1.3,9,2014-15,-0.075,20,0.12
4,201143_2014-15,2.6,33,2014-15,0.175,206,0.212
5,2744_2014-15,4.6,29,2014-15,0.15,264,0.238
6,202329_2014-15,1.2,22,2014-15,0.085,70,0.125
7,101187_2014-15,2.0,34,2014-15,0.08,148,0.094
8,202692_2014-15,3.3,13,2014-15,0.123,93,0.206
9,203458_2014-15,2.8,24,2014-15,0.053,147,0.089
10,203144_2014-15,3.1,10,2014-15,0.112,63,0.208
11,201582_2014-15,2.8,9,2014-15,0.062,51,0.186
12,203459_2014-15,2.2,6,2014-15,0.0,26,0.1
13,202087_2014-15,1.3,13,2014-15,-0.085,28,0.0
14,2405_2014-15,2.3,21,2014-15,0.098,97,0.185
15,101161_2014-15,3.4,30,2014-15,0.112,209,0.119
16,2760_2014-15,3.5,4,2014-15,0.291,25,0.167
17,203083_2014-15,2.7,31,2014-15,0.07,174,0.21
18,2738_2014-15,3.0,26,2014-15,0.131,186,0.087
19,1889_2014-15,2.0,16,2014-15,0.08,74,0.209
20,203460_2014-15,1.8,23,2014-15,0.048,94,0.063
21,200745_2014-15,3.5,11,2014-15,0.017,78,0.242
22,101106_2014-15,2.5,17,2014-15,0.113,92,0.121
23,203094_2014-15,1.4,3,2014-15,-0.133,7,0.125
24,203952_2014-15,4.0,37,2014-15,0.089,294,0.202
25,203461_2014-15,2.4,4,2014-15,0.083,18,0.045
26,203076_2014-15,3.5,33,2014-15,0.283,238,0.281
27,201627_2014-15,2.4,34,2014-15,0.124,186,0.119
28,201229_2014-15,2.3,14,2014-15,-0.076,72,0.14
29,203462_2014-15,3.1,3,2014-15,0.141,22,0.12
30,202620_2014-15,0.1,1,2014-15,0.0,0,0.0
31,203382_2014-15,1.9,7,2014-15,0.016,25,0.033
32,201167_2014-15,3.6,37,2014-15,0.048,276,0.199
33,201948_2014-15,2.2,2,2014-15,-0.071,7,0.375
34,203085_2014-15,1.5,13,2014-15,-0.045,48,0.038
35,202340_2014-15,3.7,38,2014-15,0.083,311,0.206
36,2732_2014-15,2.0,11,2014-15,0.016,50,0.182
37,203463_2014-15,3.5,32,2014-15,0.064,219,0.087
38,2757_2014-15,2.3,15,2014-15,0.131,64,0.108
39,203108_2014-15,3.6,2,2014-15,-0.073,16,0.0
40,202687_2014-15,2.4,11,2014-15,0.049,49,0.054
41,201933_2014-15,3.3,32,2014-15,0.132,235,0.258
42,202711_2014-15,3.6,23,2014-15,0.074,161,0.143
43,2564_2014-15,3.2,27,2014-15,0.037,183,0.112
44,203078_2014-15,4.5,29,2014-15,0.024,272,0.208
45,201148_2014-15,1.7,14,2014-15,0.268,51,0.121
46,101138_2014-15,2.5,36,2014-15,0.097,182,0.151
47,203561_2014-15,3.2,4,2014-15,-0.094,28,0.1
48,201943_2014-15,3.9,16,2014-15,0.103,134,0.277
49,202688_2014-15,4.2,31,2014-15,0.162,271,0.336
50,201575_2014-15,2.0,3,2014-15,-0.045,17,0.048
51,2217_2014-15,8.6,1,2014-15,0.186,18,0.15
52,203148_2014-15,3.5,12,2014-15,0.012,88,0.098
53,201572_2014-15,3.7,34,2014-15,0.139,253,0.257
54,203955_2014-15,4.4,1,2014-15,0.0,11,0.154
55,201228_2014-15,2.8,26,2014-15,0.068,158,0.175
56,203468_2014-15,1.0,10,2014-15,0.109,23,0.231
57,101139_2014-15,3.8,31,2014-15,0.127,257,0.208
58,201171_2014-15,3.9,8,2014-15,0.08,54,0.109
59,2430_2014-15,3.3,25,2014-15,0.114,181,0.144
60,2546_2014-15,3.6,22,2014-15,0.227,153,0.393
61,2406_2014-15,2.3,16,2014-15,0.053,79,0.084
62,201858_2014-15,1.4,2,2014-15,0.0,6,0.0
63,202718_2014-15,3.7,35,2014-15,0.094,268,0.141
64,101112_2014-15,2.4,31,2014-15,0.077,155,0.103
65,101111_2014-15,0.9,10,2014-15,0.049,27,0.235
66,201978_2014-15,3.6,12,2014-15,0.077,90,0.171
67,2365_2014-15,2.5,13,2014-15,0.122,68,0.081
68,2547_2014-15,2.9,20,2014-15,0.256,123,0.248
69,203142_2014-15,2.5,14,2014-15,-0.006,68,0.24
70,203187_2014-15,0.6,3,2014-15,0.476,8,0.333
71,2549_2014-15,2.1,11,2014-15,-0.024,45,0.115
72,101108_2014-15,3.4,38,2014-15,0.176,288,0.311
73,101236_2014-15,2.6,3,2014-15,-0.034,14,0.063
74,203921_2014-15,1.1,8,2014-15,-0.125,21,0.375
75,203991_2014-15,0.0,1,2014-15,0.0,0,0.0
